state,place_type,city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,new_confirmed,new_deaths,id_municipio,municipio,latitude,longitude
SP,city,Cruzeiro,3513405,2021-05-30,202122,82571,82238,True,False,5224,6326.67644,2021-05-30,0.014,73,411,63,0,4881,Cruzeiro,-22.572764,-44.96896
SP,city,Elisiário,3514924,2021-05-30,202122,3697,3651,True,False,383,10359.75115,2021-05-30,0.0131,5,383,7,0,4898,Elisiário,-21.167754,-49.114594
SP,city,Guará,3517703,2021-05-30,202122,21308,21220,True,False,1564,7339.96621,2021-05-30,0.0467,73,398,11,0,4935,Guará,-20.430162,-47.823626
SP,city,Iacanga,3519105,2021-05-30,202122,11858,11710,True,False,1024,8635.52032,2021-05-30,0.0186,19,390,2,0,4952,Iacanga,-21.889646,-49.030959
SP,city,Monte Alto,3531308,2021-05-30,202122,50772,50498,True,False,3801,7486.40983,2021-05-30,0.0316,120,419,35,0,5084,Monte Alto,-21.265545,-48.497066
SP,city,Monte Aprazível,3531407,2021-05-30,202122,25373,25087,True,False,2195,8650.92815,2021-05-30,0.0287,63,389,46,1,5085,Monte Aprazível,-20.768015,-49.71842
SP,city,Monte Mor,3531803,2021-05-30,202122,60754,59772,True,False,4478,7370.7081,2021-05-30,0.021,94,411,23,2,5089,Monte Mor,-22.945043,-47.312182
SP,city,Piraju,3538808,2021-05-30,202122,29869,29806,True,False,1371,4590.04319,2021-05-30,0.0365,50,407,11,1,5168,Piraju,-23.198066,-49.380335
SP,city,Serrana,3551504,2021-05-30,202122,45644,45107,True,False,4010,8785.38253,2021-05-30,0.0209,84,408,18,0,5308,Serrana,-21.204336,-47.595239
SP,city,Vargem Grande do Sul,3556404,2021-05-30,202122,43110,42845,True,False,2188,5075.38854,2021-05-30,0.0238,52,395,6,1,5366,Vargem Grande do Sul,-21.832194,-46.891286
SP,city,Caçapava,3508504,2021-05-30,202122,95018,94263,True,False,6868,7228.10415,2021-05-30,0.0293,201,418,118,2,4828,Caçapava,-23.099204,-45.707645
