municipio,data,dose,n
ADAMANTINA,2021-01-21,1a Dose,88
ADAMANTINA,2021-01-22,1a Dose,111
ADAMANTINA,2021-01-25,1a Dose,100
ADAMANTINA,2021-01-26,1a Dose,55
ADAMANTINA,2021-01-27,1a Dose,127
ADAMANTINA,2021-01-28,1a Dose,94
ADAMANTINA,2021-01-29,1a Dose,92
ADAMANTINA,2021-02-01,1a Dose,348
ADAMANTINA,2021-02-02,1a Dose,158
ADAMANTINA,2021-02-03,1a Dose,137
ADAMANTINA,2021-02-04,1a Dose,284
ADAMANTINA,2021-02-08,1a Dose,85
ADAMANTINA,2021-02-09,1a Dose,13
ADAMANTINA,2021-02-10,1a Dose,22
ADAMANTINA,2021-02-11,1a Dose,50
ADAMANTINA,2021-02-11,2a Dose,66
ADAMANTINA,2021-02-12,1a Dose,133
ADAMANTINA,2021-02-12,2a Dose,104
ADAMANTINA,2021-02-17,1a Dose,98
ADAMANTINA,2021-02-17,2a Dose,119
ADAMANTINA,2021-02-18,1a Dose,66
ADAMANTINA,2021-02-18,2a Dose,223
ADAMANTINA,2021-02-19,1a Dose,33
ADAMANTINA,2021-02-19,2a Dose,63
ADAMANTINA,2021-02-22,1a Dose,15
ADAMANTINA,2021-02-22,2a Dose,23
ADAMANTINA,2021-02-23,1a Dose,5
ADAMANTINA,2021-02-23,2a Dose,5
ADAMANTINA,2021-02-24,1a Dose,9
ADAMANTINA,2021-02-24,2a Dose,126
ADAMANTINA,2021-02-25,1a Dose,3
ADAMANTINA,2021-02-26,1a Dose,1
ADAMANTINA,2021-02-26,2a Dose,1
ADAMANTINA,2021-03-01,1a Dose,456
ADAMANTINA,2021-03-01,2a Dose,271
ADAMANTINA,2021-03-02,1a Dose,163
ADAMANTINA,2021-03-02,2a Dose,77
ADAMANTINA,2021-03-03,1a Dose,233
ADAMANTINA,2021-03-03,2a Dose,37
ADAMANTINA,2021-03-04,1a Dose,19
ADAMANTINA,2021-03-04,2a Dose,80
ADAMANTINA,2021-03-05,1a Dose,23
ADAMANTINA,2021-03-05,2a Dose,139
ADAMANTINA,2021-03-06,1a Dose,335
